"","n","date","vcrix"
"1","1",2018-01-04,1000
"2","2",2018-01-05,991.079252724988
"3","3",2018-01-06,819.059606169579
"4","4",2018-01-07,799.35085860382
"5","5",2018-01-08,822.522295778618
"6","6",2018-01-09,822.192732071666
"7","7",2018-01-10,799.055566049112
"8","8",2018-01-11,829.221946758783
"9","9",2018-01-12,844.316371666031
"10","10",2018-01-13,840.152243532556
"11","11",2018-01-14,851.776895442747
"12","12",2018-01-15,845.010757252773
"13","13",2018-01-16,1055.39525082212
"14","14",2018-01-17,1044.00030682573
"15","15",2018-01-18,1048.54921295864
"16","16",2018-01-19,1045.86295360219
"17","17",2018-01-20,1082.18722168222
"18","18",2018-01-21,1051.51992416468
"19","19",2018-01-22,1033.53801952667
"20","20",2018-01-23,1027.1469768433
"21","21",2018-01-24,1031.3437116046
"22","22",2018-01-25,986.530332896268
"23","23",2018-01-26,987.830571236037
"24","24",2018-01-27,983.582439965598
"25","25",2018-01-28,980.48131000701
"26","26",2018-01-29,971.122495581338
"27","27",2018-01-30,953.487335334338
"28","28",2018-01-31,988.223725972617
"29","29",2018-02-01,988.223725972617
"30","30",2018-02-02,993.696264579234
"31","31",2018-02-03,996.309832335538
"32","32",2018-02-04,986.477139759392
"33","33",2018-02-05,989.578233930224
"34","34",2018-02-06,1075.87127058957
"35","35",2018-02-07,1125.85887626914
"36","36",2018-02-08,1124.60550774494
"37","37",2018-02-09,1141.10612152265
"38","38",2018-02-10,1141.12652306704
"39","39",2018-02-11,1116.63328555477
"40","40",2018-02-12,1103.0595277576
"41","41",2018-02-13,1125.86372383406
"42","42",2018-02-14,1128.00924083833
"43","43",2018-02-15,1015.10233510554
"44","44",2018-02-16,1026.95584738124
"45","45",2018-02-17,1025.35368073734
"46","46",2018-02-18,1040.10452375585
"47","47",2018-02-19,1009.708232404
"48","48",2018-02-20,976.252600688939
"49","49",2018-02-21,970.007796623333
"50","50",2018-02-22,1032.82162078848
"51","51",2018-02-23,1027.92061755026
"52","52",2018-02-24,1035.24369207048
"53","53",2018-02-25,1041.63409790669
"54","54",2018-02-26,1036.28794551636
"55","55",2018-02-27,1024.40029395879
"56","56",2018-02-28,1018.45337325929
"57","57",2018-03-01,1018.45337325929
"58","58",2018-03-02,986.455834785004
"59","59",2018-03-03,988.240074861939
"60","60",2018-03-04,950.075338269976
"61","61",2018-03-05,939.502422010498
"62","62",2018-03-06,940.641398149318
"63","63",2018-03-07,910.759115835187
"64","64",2018-03-08,751.633324053727
"65","65",2018-03-09,712.057811132375
"66","66",2018-03-10,719.741066050809
"67","67",2018-03-11,716.579720627657
"68","68",2018-03-12,712.355443183788
"69","69",2018-03-13,720.572948331865
"70","70",2018-03-14,713.856452757064
"71","71",2018-03-15,744.196972574975
"72","72",2018-03-16,741.737656688454
"73","73",2018-03-17,655.104439781681
"74","74",2018-03-18,659.658069738106
"75","75",2018-03-19,659.451733170427
"76","76",2018-03-20,660.075115426029
"77","77",2018-03-21,655.639462913942
"78","78",2018-03-22,646.512886969291
"79","79",2018-03-23,649.251753729331
"80","80",2018-03-24,543.894784648226
"81","81",2018-03-25,547.359256606977
"82","82",2018-03-26,534.645409579316
"83","83",2018-03-27,533.763418121564
"84","84",2018-03-28,546.433141246805
"85","85",2018-03-29,525.595560484284
"86","86",2018-03-30,595.67477892355
"87","87",2018-03-31,595.556741349989
"88","88",2018-04-01,595.556741349989
"89","89",2018-04-02,592.94366920075
"90","90",2018-04-03,604.170246808467
"91","91",2018-04-04,648.508205190651
"92","92",2018-04-05,678.55413636636
"93","93",2018-04-06,668.490405876758
"94","94",2018-04-07,647.706501582528
"95","95",2018-04-08,648.186421168329
"96","96",2018-04-09,653.093537981655
"97","97",2018-04-10,647.514662055728
"98","98",2018-04-11,618.905660575083
"99","99",2018-04-12,626.515796882359
"100","100",2018-04-13,727.268471954082
"101","101",2018-04-14,673.553603486933
"102","102",2018-04-15,672.891651822131
"103","103",2018-04-16,690.710570698919
"104","104",2018-04-17,672.896173447497
"105","105",2018-04-18,673.958226666937
"106","106",2018-04-19,666.066470925076
"107","107",2018-04-20,678.649071596445
"108","108",2018-04-21,695.293736289248
"109","109",2018-04-22,690.838083686272
"110","110",2018-04-23,688.887753812912
"111","111",2018-04-24,687.937694347857
"112","112",2018-04-25,714.782019588523
"113","113",2018-04-26,769.669865888786
"114","114",2018-04-27,765.238559344305
"115","115",2018-04-28,771.92013478561
"116","116",2018-04-29,706.459482292834
"117","117",2018-04-30,702.391559281194
"118","118",2018-05-01,702.391559281194
"119","119",2018-05-02,694.782691404378
"120","120",2018-05-03,691.233403863459
"121","121",2018-05-04,688.100405392602
"122","122",2018-05-05,642.131840582731
"123","123",2018-05-06,641.440843514184
"124","124",2018-05-07,629.771579900849
"125","125",2018-05-08,641.18638083322
"126","126",2018-05-09,644.159969597178
"127","127",2018-05-10,638.492602238728
"128","128",2018-05-11,649.812323631495
"129","129",2018-05-12,678.154946451958
"130","130",2018-05-13,620.446239090791
"131","131",2018-05-14,624.489099366941
"132","132",2018-05-15,625.505640434094
