,emoji,count
8,💚,132
7,📢,122
13,📉,116
4,😂,115
3,👉,112
6,👊,93
9,🔴,66
2,💥,54
5,💸,44
1,🚨,38
11,🔄,33
12,🔻,27
0,👇,25
10,💼,6
14,🎰,3
