,emoji,count
14,😂,101
1,🚀,74
105,😉,45
20,👍,45
16,📈,40
122,🧠,39
9,🙏,36
44,😎,36
30,🤔,36
4,👀,32
0,🔥,30
70,😁,28
54,😀,24
41,😊,23
8,🤣,21
